Player,Height,Weight,Age,School,BDate
Vitor Faverani,83,260,25,None,05-05-1988
Avery Bradley,74,180,22,Texas,26-11-1990
Keith Bogans,77,215,33,Kentucky,12-05-1980
Jared Sullinger,81,260,21,Ohio State,04-03-1992
Jeff Green,81,235,27,Georgetown,28-08-1986
Rajon Rondo,73,171,27,Kentucky,22-02-1986
Courtney Lee,77,200,27,Western Kentucky,03-10-1985
MarShon Brooks,77,200,24,Providence,26-01-1989
Phil Pressey,71,175,22,Missouri,17-02-1991
Jordan Crawford,76,195,24,Xavier,23-10-1988
Brandon Bass,80,250,28,LSU,30-04-1985
Colton Iverson,84,255,24,Colorado State,29-06-1989
Kelly Olynyk,84,238,22,Gonzaga,19-04-1991
Kris Humphries,81,235,28,Minnesota,06-02-1985
Chris Wilcox,82,235,31,Maryland,03-09-1982
Gerald Wallace,79,220,31,Alabama,23-07-1982
Andray Blatche,83,260,27,None,22-08-1986
Alan Anderson,78,219,30,Michigan State,16-10-1982
Mason Plumlee,82,235,23,Duke,05-03-1990
Kevin Garnett,83,253,37,None,19-05-1976
Joe Johnson,79,240,32,Arkansas,29-06-1981
Deron Williams,75,209,29,Illinois,26-06-1984
Tyshawn Taylor,75,185,23,Kansas,11-04-1990
Brook Lopez,84,265,25,Stanford,01-04-1988
Shaun Livingston,79,185,28,None,11-09-1985
Tornike Shengelia,81,217,21,Spirou Charleroi (BEL),05-10-1991
Reggie Evans,80,245,33,Iowa,18-05-1980
Jason Terry,74,180,36,Arizona,15-09-1977
Mirza Teletovic,80,235,28,None,18-09-1985
Paul Pierce,79,235,35,Kansas,13-10-1977
Jerry Stackhouse,78,218,38,North Carolina,05-11-1974
Andrei Kirilenko,81,235,32,None,18-02-1981
Andrea Bargnani,84,255,27,None,26-10-1985
C.J. Leslie,81,209,22,NC State,25-06-1991
Toure` Murry,77,200,23,Wichita State,08-11-1989
Jeremy Tyler,82,260,22,Tokyo Apache (Japan),21-06-1991
Metta World Peace,79,260,33,St. John`s,13-11-1979
Tim Hardaway Jr.,78,205,21,Michigan,16-03-1992
Chris Smith,74,195,25,Louisville,13-10-1987
Beno Udrih,75,205,31,None,05-07-1982
Amare Stoudemire,82,240,30,None,16-11-1982
Raymond Felton,73,205,29,North Carolina,26-06-1984
